MG-RAST ID	Metagenome Name	bp Count	Sequence Count	Biome	Feature	Material	Location	Country	Coordinates	Sequence Type	Sequence Method	ProjectID
4601216.3	URP10_16S	"1,460,645"	"4,297"	terrestrial biome	human-associated habitat	urine	California	USA	"32.8774915, -117.2352765"	Amplicon	ion torrent	9680
4601225.3	URP9_16S	"4,744,399"	"13,880"	terrestrial biome	human-associated habitat	urine	California	USA	"32.8774915, -117.2352765"	Amplicon	ion torrent	9680
4601224.3	URP7_16S	"696,546"	"1,901"	terrestrial biome	human-associated habitat	urine	California	USA	"32.8774915, -117.2352765"	Amplicon	ion torrent	9680
4601223.3	URP6_16S	"1,703,393"	"4,975"	terrestrial biome	human-associated habitat	urine	California	USA	"32.8774915, -117.2352765"	Amplicon	ion torrent	9680
4601222.3	URP4_16S	"3,182,775"	"9,303"	terrestrial biome	human-associated habitat	urine	California	USA	"32.8774915, -117.2352765"	Amplicon	ion torrent	9680
4601221.3	URP3_16S	"2,865,144"	"8,301"	terrestrial biome	human-associated habitat	urine	California	USA	"32.8774915, -117.2352765"	Amplicon	ion torrent	9680
4601220.3	URP2_16S	"9,283,090"	"27,126"	terrestrial biome	human-associated habitat	urine	California	USA	"32.8774915, -117.2352765"	Amplicon	ion torrent	9680
4601219.3	URP1_16S	"1,367,979"	"3,985"	terrestrial biome	human-associated habitat	urine	California	USA	"32.8774915, -117.2352765"	Amplicon	ion torrent	9680
4601213.3	URN2_16S	"2,555,716"	"7,798"	terrestrial biome	human-associated habitat	urine	California	USA	"32.8774915, -117.2352765"	Amplicon	ion torrent	9680
4601212.3	URN1_16S	"7,076,929"	"21,789"	terrestrial biome	human-associated habitat	urine	California	USA	"32.8774915, -117.2352765"	Amplicon	ion torrent	9680
