BioSample_s	Experiment_s	Library_Name_s	MBases_l	MBytes_l	Run_s	SRA_Sample_s	Sample_Name_s	Assay_Type_s	AssemblyName_s	BioProject_s	Center_Name_s	Consent_s	InsertSize_l	LibraryLayout_s	LibrarySelection_s	LibrarySource_s	LoadDate_s	Organism_s	Platform_s	ReleaseDate_s	SRA_Study_s	collection_date_s	environment_biome_s	environment_feature_s	environment_material_s	environmental_package_s	g1k_analysis_group_s	g1k_pop_code_s	geographic_location_country_and_or_sea_s	geographic_location_latitude_s	geographic_location_longitude_s	investigation_type_s	project_name_s	sequencing_method_s	source_s
SAMEA3444267	ERX986152	CJM00115_GTCCGC	512	267	ERR906892	ERS743399	CJM00115	WGS	<not provided>	PRJEB9524	WASHINGTON UNIVERSITY  SCHOOL OF MEDICINE	public	350	PAIRED	RANDOM	METAGENOMIC	2015-08-02	Homo sapiens	ILLUMINA	2015-08-02	ERP010635	2011-01-01	Host associated	Gastrointestinal tract	Stool	host-associated	<not provided>	<not provided>	Uganda	-0.6170	30.6565	metagenome	AIDS Gastrointestinal Virome	Illumina	<not provided>
SAMEA3444268	ERX986153	CJM00116_GTGAAA	510	264	ERR906893	ERS743400	CJM00116	WGS	<not provided>	PRJEB9524	WASHINGTON UNIVERSITY  SCHOOL OF MEDICINE	public	350	PAIRED	RANDOM	METAGENOMIC	2015-08-02	Homo sapiens	ILLUMINA	2015-08-02	ERP010635	2011-01-01	Host associated	Gastrointestinal tract	Stool	host-associated	<not provided>	<not provided>	Uganda	-0.6170	30.6565	metagenome	AIDS Gastrointestinal Virome	Illumina	<not provided>
SAMEA3444269	ERX986154	CJM00117_GTGGCC	453	231	ERR906894	ERS743401	CJM00117	WGS	<not provided>	PRJEB9524	WASHINGTON UNIVERSITY  SCHOOL OF MEDICINE	public	350	PAIRED	RANDOM	METAGENOMIC	2015-08-02	Homo sapiens	ILLUMINA	2015-08-02	ERP010635	2011-01-01	Host associated	Gastrointestinal tract	Stool	host-associated	<not provided>	<not provided>	Uganda	-0.6170	30.6565	metagenome	AIDS Gastrointestinal Virome	Illumina	<not provided>
SAMEA3444270	ERX986155	CJM00118_GTTTCG	484	259	ERR906895	ERS743402	CJM00118	WGS	<not provided>	PRJEB9524	WASHINGTON UNIVERSITY  SCHOOL OF MEDICINE	public	350	PAIRED	RANDOM	METAGENOMIC	2015-08-02	Homo sapiens	ILLUMINA	2015-08-02	ERP010635	2011-01-01	Host associated	Gastrointestinal tract	Stool	host-associated	<not provided>	<not provided>	Uganda	-0.6170	30.6565	metagenome	AIDS Gastrointestinal Virome	Illumina	<not provided>
SAMEA3444271	ERX986156	CJM00119_CGTACG	462	246	ERR906896	ERS743403	CJM00119	WGS	<not provided>	PRJEB9524	WASHINGTON UNIVERSITY  SCHOOL OF MEDICINE	public	350	PAIRED	RANDOM	METAGENOMIC	2015-08-02	Homo sapiens	ILLUMINA	2015-08-02	ERP010635	2011-01-01	Host associated	Gastrointestinal tract	Stool	host-associated	<not provided>	<not provided>	Uganda	-0.6170	30.6565	metagenome	AIDS Gastrointestinal Virome	Illumina	<not provided>
SAMEA3444272	ERX986157	CJM00120_GAGTGG	595	310	ERR906897	ERS743404	CJM00120	WGS	<not provided>	PRJEB9524	WASHINGTON UNIVERSITY  SCHOOL OF MEDICINE	public	350	PAIRED	RANDOM	METAGENOMIC	2015-08-02	Homo sapiens	ILLUMINA	2015-08-02	ERP010635	2011-01-01	Host associated	Gastrointestinal tract	Stool	host-associated	<not provided>	<not provided>	Uganda	-0.6170	30.6565	metagenome	AIDS Gastrointestinal Virome	Illumina	<not provided>
SAMEA3444273	ERX986158	CJM00121_ATCACG	364	187	ERR906898	ERS743405	CJM00121	WGS	<not provided>	PRJEB9524	WASHINGTON UNIVERSITY  SCHOOL OF MEDICINE	public	350	PAIRED	RANDOM	METAGENOMIC	2015-08-02	Homo sapiens	ILLUMINA	2015-08-02	ERP010635	2011-01-01	Host associated	Gastrointestinal tract	Stool	host-associated	<not provided>	<not provided>	Uganda	-0.6170	30.6565	metagenome	AIDS Gastrointestinal Virome	Illumina	<not provided>
SAMEA3444274	ERX986159	CJM00122_CGATGT	311	154	ERR906899	ERS743406	CJM00122	WGS	<not provided>	PRJEB9524	WASHINGTON UNIVERSITY  SCHOOL OF MEDICINE	public	350	PAIRED	RANDOM	METAGENOMIC	2015-08-02	Homo sapiens	ILLUMINA	2015-08-02	ERP010635	2011-01-01	Host associated	Gastrointestinal tract	Stool	host-associated	<not provided>	<not provided>	Uganda	-0.6170	30.6565	metagenome	AIDS Gastrointestinal Virome	Illumina	<not provided>
SAMEA3444275	ERX986160	CJM00123_TTAGGC	388	188	ERR906900	ERS743407	CJM00123	WGS	<not provided>	PRJEB9524	WASHINGTON UNIVERSITY  SCHOOL OF MEDICINE	public	350	PAIRED	RANDOM	METAGENOMIC	2015-08-02	Homo sapiens	ILLUMINA	2015-08-02	ERP010635	2011-01-01	Host associated	Gastrointestinal tract	Stool	host-associated	<not provided>	<not provided>	Uganda	-0.6170	30.6565	metagenome	AIDS Gastrointestinal Virome	Illumina	<not provided>
SAMEA3444276	ERX986161	CJM00124_GCCAAT	25	13	ERR906901	ERS743408	CJM00124	WGS	<not provided>	PRJEB9524	WASHINGTON UNIVERSITY  SCHOOL OF MEDICINE	public	350	PAIRED	RANDOM	METAGENOMIC	2015-08-02	Homo sapiens	ILLUMINA	2015-08-02	ERP010635	2011-01-01	Host associated	Gastrointestinal tract	Stool	host-associated	<not provided>	<not provided>	Uganda	-0.6170	30.6565	metagenome	AIDS Gastrointestinal Virome	Illumina	<not provided>
SAMEA3444277	ERX986162	CJM00125_CAGATC	75	38	ERR906902	ERS743409	CJM00125	WGS	<not provided>	PRJEB9524	WASHINGTON UNIVERSITY  SCHOOL OF MEDICINE	public	350	PAIRED	RANDOM	METAGENOMIC	2015-08-02	Homo sapiens	ILLUMINA	2015-08-02	ERP010635	2011-01-01	Host associated	Gastrointestinal tract	Stool	host-associated	<not provided>	<not provided>	Uganda	-0.6170	30.6565	metagenome	AIDS Gastrointestinal Virome	Illumina	<not provided>
SAMEA3444278	ERX986163	CJM00126_ACTTGA	453	226	ERR906903	ERS743410	CJM00126	WGS	<not provided>	PRJEB9524	WASHINGTON UNIVERSITY  SCHOOL OF MEDICINE	public	350	PAIRED	RANDOM	METAGENOMIC	2015-08-02	Homo sapiens	ILLUMINA	2015-08-02	ERP010635	2011-01-01	Host associated	Gastrointestinal tract	Stool	host-associated	<not provided>	<not provided>	Uganda	-0.6170	30.6565	metagenome	AIDS Gastrointestinal Virome	Illumina	<not provided>
SAMEA3444279	ERX986164	CJM00127_TAGCTT	519	241	ERR906904	ERS743411	CJM00127	WGS	<not provided>	PRJEB9524	WASHINGTON UNIVERSITY  SCHOOL OF MEDICINE	public	350	PAIRED	RANDOM	METAGENOMIC	2015-08-02	Homo sapiens	ILLUMINA	2015-08-02	ERP010635	2011-01-01	Host associated	Gastrointestinal tract	Stool	host-associated	<not provided>	<not provided>	Uganda	-0.6170	30.6565	metagenome	AIDS Gastrointestinal Virome	Illumina	<not provided>
SAMEA3444280	ERX986165	CJM00128_GGCTAC	416	201	ERR906905	ERS743412	CJM00128	WGS	<not provided>	PRJEB9524	WASHINGTON UNIVERSITY  SCHOOL OF MEDICINE	public	350	PAIRED	RANDOM	METAGENOMIC	2015-08-02	Homo sapiens	ILLUMINA	2015-08-02	ERP010635	2011-01-01	Host associated	Gastrointestinal tract	Stool	host-associated	<not provided>	<not provided>	Uganda	-0.6170	30.6565	metagenome	AIDS Gastrointestinal Virome	Illumina	<not provided>
SAMEA3444281	ERX986166	CJM00130_AGTCAA	497	225	ERR906906	ERS743413	CJM00130	WGS	<not provided>	PRJEB9524	WASHINGTON UNIVERSITY  SCHOOL OF MEDICINE	public	350	PAIRED	RANDOM	METAGENOMIC	2015-08-02	Homo sapiens	ILLUMINA	2015-08-02	ERP010635	2011-01-01	Host associated	Gastrointestinal tract	Stool	host-associated	<not provided>	<not provided>	Uganda	-0.6170	30.6565	metagenome	AIDS Gastrointestinal Virome	Illumina	<not provided>
SAMEA3444282	ERX986167	CJM00131_AGTTCC	424	211	ERR906907	ERS743414	CJM00131	WGS	<not provided>	PRJEB9524	WASHINGTON UNIVERSITY  SCHOOL OF MEDICINE	public	350	PAIRED	RANDOM	METAGENOMIC	2015-08-02	Homo sapiens	ILLUMINA	2015-08-02	ERP010635	2011-01-01	Host associated	Gastrointestinal tract	Stool	host-associated	<not provided>	<not provided>	Uganda	-0.6170	30.6565	metagenome	AIDS Gastrointestinal Virome	Illumina	<not provided>
SAMEA3444283	ERX986168	CJM00132_ACTGAT	660	307	ERR906908	ERS743415	CJM00132	WGS	<not provided>	PRJEB9524	WASHINGTON UNIVERSITY  SCHOOL OF MEDICINE	public	350	PAIRED	RANDOM	METAGENOMIC	2015-08-02	Homo sapiens	ILLUMINA	2015-08-02	ERP010635	2011-01-01	Host associated	Gastrointestinal tract	Stool	host-associated	<not provided>	<not provided>	Uganda	-0.6170	30.6565	metagenome	AIDS Gastrointestinal Virome	Illumina	<not provided>
SAMEA3444284	ERX986169	MBA1011_TGACCA	423	232	ERR906909	ERS743416	MBA1011	WGS	<not provided>	PRJEB9524	WASHINGTON UNIVERSITY  SCHOOL OF MEDICINE	public	350	PAIRED	RANDOM	METAGENOMIC	2015-08-02	Homo sapiens	ILLUMINA	2015-08-02	ERP010635	2011-01-01	Host associated	Gastrointestinal tract	Stool	host-associated	<not provided>	<not provided>	Uganda	-0.6170	30.6565	metagenome	AIDS Gastrointestinal Virome	Illumina	<not provided>
SAMEA3444285	ERX986170	MBA1019_TAGCTT	470	264	ERR906910	ERS743417	MBA1019	WGS	<not provided>	PRJEB9524	WASHINGTON UNIVERSITY  SCHOOL OF MEDICINE	public	350	PAIRED	RANDOM	METAGENOMIC	2015-08-02	Homo sapiens	ILLUMINA	2015-08-02	ERP010635	2011-01-01	Host associated	Gastrointestinal tract	Stool	host-associated	<not provided>	<not provided>	Uganda	-0.6170	30.6565	metagenome	AIDS Gastrointestinal Virome	Illumina	<not provided>
SAMEA3444286	ERX986171	MBA1021_GGCTAC	413	240	ERR906911	ERS743418	MBA1021	WGS	<not provided>	PRJEB9524	WASHINGTON UNIVERSITY  SCHOOL OF MEDICINE	public	350	PAIRED	RANDOM	METAGENOMIC	2015-08-02	Homo sapiens	ILLUMINA	2015-08-02	ERP010635	2011-01-01	Host associated	Gastrointestinal tract	Stool	host-associated	<not provided>	<not provided>	Uganda	-0.6170	30.6565	metagenome	AIDS Gastrointestinal Virome	Illumina	<not provided>
SAMEA3444287	ERX986172	MBA1029_GATCAG	437	236	ERR906912	ERS743419	MBA1029	WGS	<not provided>	PRJEB9524	WASHINGTON UNIVERSITY  SCHOOL OF MEDICINE	public	350	PAIRED	RANDOM	METAGENOMIC	2015-08-02	Homo sapiens	ILLUMINA	2015-08-02	ERP010635	2011-01-01	Host associated	Gastrointestinal tract	Stool	host-associated	<not provided>	<not provided>	Uganda	-0.6170	30.6565	metagenome	AIDS Gastrointestinal Virome	Illumina	<not provided>
SAMEA3444288	ERX986173	MBA1034_TAGCTT	397	204	ERR906913	ERS743420	MBA1034	WGS	<not provided>	PRJEB9524	WASHINGTON UNIVERSITY  SCHOOL OF MEDICINE	public	350	PAIRED	RANDOM	METAGENOMIC	2015-08-02	Homo sapiens	ILLUMINA	2015-08-02	ERP010635	2011-01-01	Host associated	Gastrointestinal tract	Stool	host-associated	<not provided>	<not provided>	Uganda	-0.6170	30.6565	metagenome	AIDS Gastrointestinal Virome	Illumina	<not provided>
SAMEA3444289	ERX986174	MBA1053_CTTGTA	520	285	ERR906914	ERS743421	MBA1053	WGS	<not provided>	PRJEB9524	WASHINGTON UNIVERSITY  SCHOOL OF MEDICINE	public	350	PAIRED	RANDOM	METAGENOMIC	2015-08-02	Homo sapiens	ILLUMINA	2015-08-02	ERP010635	2011-01-01	Host associated	Gastrointestinal tract	Stool	host-associated	<not provided>	<not provided>	Uganda	-0.6170	30.6565	metagenome	AIDS Gastrointestinal Virome	Illumina	<not provided>
SAMEA3444290	ERX986175	MBA1055_CAGATC	400	217	ERR906915	ERS743422	MBA1055	WGS	<not provided>	PRJEB9524	WASHINGTON UNIVERSITY  SCHOOL OF MEDICINE	public	350	PAIRED	RANDOM	METAGENOMIC	2015-08-02	Homo sapiens	ILLUMINA	2015-08-02	ERP010635	2011-01-01	Host associated	Gastrointestinal tract	Stool	host-associated	<not provided>	<not provided>	Uganda	-0.6170	30.6565	metagenome	AIDS Gastrointestinal Virome	Illumina	<not provided>
SAMEA3444291	ERX986176	MBA1062_ATTCCT	437	250	ERR906916	ERS743423	MBA1062	WGS	<not provided>	PRJEB9524	WASHINGTON UNIVERSITY  SCHOOL OF MEDICINE	public	350	PAIRED	RANDOM	METAGENOMIC	2015-08-02	Homo sapiens	ILLUMINA	2015-08-02	ERP010635	2011-01-01	Host associated	Gastrointestinal tract	Stool	host-associated	<not provided>	<not provided>	Uganda	-0.6170	30.6565	metagenome	AIDS Gastrointestinal Virome	Illumina	<not provided>
SAMEA3444292	ERX986177	MBA1090_ATCACG	668	372	ERR906917	ERS743424	MBA1090	WGS	<not provided>	PRJEB9524	WASHINGTON UNIVERSITY  SCHOOL OF MEDICINE	public	350	PAIRED	RANDOM	METAGENOMIC	2015-08-02	Homo sapiens	ILLUMINA	2015-08-02	ERP010635	2011-01-01	Host associated	Gastrointestinal tract	Stool	host-associated	<not provided>	<not provided>	Uganda	-0.6170	30.6565	metagenome	AIDS Gastrointestinal Virome	Illumina	<not provided>
SAMEA3444293	ERX986178	MBA1098_CGATGT	602	347	ERR906918	ERS743425	MBA1098	WGS	<not provided>	PRJEB9524	WASHINGTON UNIVERSITY  SCHOOL OF MEDICINE	public	350	PAIRED	RANDOM	METAGENOMIC	2015-08-02	Homo sapiens	ILLUMINA	2015-08-02	ERP010635	2011-01-01	Host associated	Gastrointestinal tract	Stool	host-associated	<not provided>	<not provided>	Uganda	-0.6170	30.6565	metagenome	AIDS Gastrointestinal Virome	Illumina	<not provided>
SAMEA3444294	ERX986179	MBA1099_TTAGGC	517	300	ERR906919	ERS743426	MBA1099	WGS	<not provided>	PRJEB9524	WASHINGTON UNIVERSITY  SCHOOL OF MEDICINE	public	350	PAIRED	RANDOM	METAGENOMIC	2015-08-02	Homo sapiens	ILLUMINA	2015-08-02	ERP010635	2011-01-01	Host associated	Gastrointestinal tract	Stool	host-associated	<not provided>	<not provided>	Uganda	-0.6170	30.6565	metagenome	AIDS Gastrointestinal Virome	Illumina	<not provided>
SAMEA3444295	ERX986180	MBA1103_TGACCA	582	353	ERR906920	ERS743427	MBA1103	WGS	<not provided>	PRJEB9524	WASHINGTON UNIVERSITY  SCHOOL OF MEDICINE	public	350	PAIRED	RANDOM	METAGENOMIC	2015-08-02	Homo sapiens	ILLUMINA	2015-08-02	ERP010635	2011-01-01	Host associated	Gastrointestinal tract	Stool	host-associated	<not provided>	<not provided>	Uganda	-0.6170	30.6565	metagenome	AIDS Gastrointestinal Virome	Illumina	<not provided>
SAMEA3444296	ERX986181	MBA1133_CTTGTA	546	319	ERR906921	ERS743428	MBA1133	WGS	<not provided>	PRJEB9524	WASHINGTON UNIVERSITY  SCHOOL OF MEDICINE	public	350	PAIRED	RANDOM	METAGENOMIC	2015-08-02	Homo sapiens	ILLUMINA	2015-08-02	ERP010635	2011-01-01	Host associated	Gastrointestinal tract	Stool	host-associated	<not provided>	<not provided>	Uganda	-0.6170	30.6565	metagenome	AIDS Gastrointestinal Virome	Illumina	<not provided>
SAMEA3444297	ERX986182	MBA1133_GGCTAC	636	376	ERR906922	ERS743429	MBA1133_1	WGS	<not provided>	PRJEB9524	WASHINGTON UNIVERSITY  SCHOOL OF MEDICINE	public	350	PAIRED	RANDOM	METAGENOMIC	2015-08-02	Homo sapiens	ILLUMINA	2015-08-02	ERP010635	2011-01-01	Host associated	Gastrointestinal tract	Stool	host-associated	<not provided>	<not provided>	Uganda	-0.6170	30.6565	metagenome	AIDS Gastrointestinal Virome	Illumina	<not provided>
SAMEA3444298	ERX986183	MBA1728_GATCAG	769	443	ERR906923	ERS743430	MBA1728	WGS	<not provided>	PRJEB9524	WASHINGTON UNIVERSITY  SCHOOL OF MEDICINE	public	350	PAIRED	RANDOM	METAGENOMIC	2015-08-02	Homo sapiens	ILLUMINA	2015-08-02	ERP010635	2011-01-01	Host associated	Gastrointestinal tract	Stool	host-associated	<not provided>	<not provided>	Uganda	-0.6170	30.6565	metagenome	AIDS Gastrointestinal Virome	Illumina	<not provided>
SAMEA3444299	ERX986184	MBA1730_TAGCTT	655	374	ERR906924	ERS743431	MBA1730	WGS	<not provided>	PRJEB9524	WASHINGTON UNIVERSITY  SCHOOL OF MEDICINE	public	350	PAIRED	RANDOM	METAGENOMIC	2015-08-02	Homo sapiens	ILLUMINA	2015-08-02	ERP010635	2011-01-01	Host associated	Gastrointestinal tract	Stool	host-associated	<not provided>	<not provided>	Uganda	-0.6170	30.6565	metagenome	AIDS Gastrointestinal Virome	Illumina	<not provided>
SAMEA3444300	ERX986185	MBA1752_GCCAAT	494	283	ERR906925	ERS743432	MBA1752	WGS	<not provided>	PRJEB9524	WASHINGTON UNIVERSITY  SCHOOL OF MEDICINE	public	350	PAIRED	RANDOM	METAGENOMIC	2015-08-02	Homo sapiens	ILLUMINA	2015-08-02	ERP010635	2011-01-01	Host associated	Gastrointestinal tract	Stool	host-associated	<not provided>	<not provided>	Uganda	-0.6170	30.6565	metagenome	AIDS Gastrointestinal Virome	Illumina	<not provided>
SAMEA3444301	ERX986186	MBA1753_ACTTGA	452	247	ERR906926	ERS743433	MBA1753	WGS	<not provided>	PRJEB9524	WASHINGTON UNIVERSITY  SCHOOL OF MEDICINE	public	350	PAIRED	RANDOM	METAGENOMIC	2015-08-02	Homo sapiens	ILLUMINA	2015-08-02	ERP010635	2011-01-01	Host associated	Gastrointestinal tract	Stool	host-associated	<not provided>	<not provided>	Uganda	-0.6170	30.6565	metagenome	AIDS Gastrointestinal Virome	Illumina	<not provided>
SAMEA3444302	ERX986187	MBA1754_CAGATC	559	327	ERR906927	ERS743434	MBA1754	WGS	<not provided>	PRJEB9524	WASHINGTON UNIVERSITY  SCHOOL OF MEDICINE	public	350	PAIRED	RANDOM	METAGENOMIC	2015-08-02	Homo sapiens	ILLUMINA	2015-08-02	ERP010635	2011-01-01	Host associated	Gastrointestinal tract	Stool	host-associated	<not provided>	<not provided>	Uganda	-0.6170	30.6565	metagenome	AIDS Gastrointestinal Virome	Illumina	<not provided>
SAMEA3444303	ERX986188	MBA1755_CGATGT	405	208	ERR906928	ERS743435	MBA1755	WGS	<not provided>	PRJEB9524	WASHINGTON UNIVERSITY  SCHOOL OF MEDICINE	public	350	PAIRED	RANDOM	METAGENOMIC	2015-08-02	Homo sapiens	ILLUMINA	2015-08-02	ERP010635	2011-01-01	Host associated	Gastrointestinal tract	Stool	host-associated	<not provided>	<not provided>	Uganda	-0.6170	30.6565	metagenome	AIDS Gastrointestinal Virome	Illumina	<not provided>
SAMEA3444304	ERX986189	MBA1758_ACTTGA	472	279	ERR906929	ERS743436	MBA1758	WGS	<not provided>	PRJEB9524	WASHINGTON UNIVERSITY  SCHOOL OF MEDICINE	public	350	PAIRED	RANDOM	METAGENOMIC	2015-08-02	Homo sapiens	ILLUMINA	2015-08-02	ERP010635	2011-01-01	Host associated	Gastrointestinal tract	Stool	host-associated	<not provided>	<not provided>	Uganda	-0.6170	30.6565	metagenome	AIDS Gastrointestinal Virome	Illumina	<not provided>
SAMEA3444305	ERX986190	MBA1766_GATCAG	412	240	ERR906930	ERS743437	MBA1766	WGS	<not provided>	PRJEB9524	WASHINGTON UNIVERSITY  SCHOOL OF MEDICINE	public	350	PAIRED	RANDOM	METAGENOMIC	2015-08-02	Homo sapiens	ILLUMINA	2015-08-02	ERP010635	2011-01-01	Host associated	Gastrointestinal tract	Stool	host-associated	<not provided>	<not provided>	Uganda	-0.6170	30.6565	metagenome	AIDS Gastrointestinal Virome	Illumina	<not provided>
SAMEA3444306	ERX986191	MBA1767_GGCTAC	374	206	ERR906931	ERS743438	MBA1767	WGS	<not provided>	PRJEB9524	WASHINGTON UNIVERSITY  SCHOOL OF MEDICINE	public	350	PAIRED	RANDOM	METAGENOMIC	2015-08-02	Homo sapiens	ILLUMINA	2015-08-02	ERP010635	2011-01-01	Host associated	Gastrointestinal tract	Stool	host-associated	<not provided>	<not provided>	Uganda	-0.6170	30.6565	metagenome	AIDS Gastrointestinal Virome	Illumina	<not provided>
SAMEA3444307	ERX986192	MBA1771_CTTGTA	408	217	ERR906932	ERS743439	MBA1771	WGS	<not provided>	PRJEB9524	WASHINGTON UNIVERSITY  SCHOOL OF MEDICINE	public	350	PAIRED	RANDOM	METAGENOMIC	2015-08-02	Homo sapiens	ILLUMINA	2015-08-02	ERP010635	2011-01-01	Host associated	Gastrointestinal tract	Stool	host-associated	<not provided>	<not provided>	Uganda	-0.6170	30.6565	metagenome	AIDS Gastrointestinal Virome	Illumina	<not provided>
