Assay_Type_s	BioSample_s	Experiment_s	InsertSize_l	LibraryLayout_s	LibrarySelection_s	LibrarySource_s	Library_Name_s	LoadDate_s	MBases_l	MBytes_l	ReleaseDate_s	Run_s	SRA_Sample_s	Sample_Name_s	collection_date_s	environment_biome_s	environment_feature_s	environment_material_s	environmental_package_s	geographic_location_country_and_or_sea_s	geographic_location_latitude_s	geographic_location_longitude_s	investigation_type_s	project_name_s	sequencing_method_s	AssemblyName_s	BioProject_s	Center_Name_s	Consent_s	Organism_s	Platform_s	SRA_Study_s	g1k_analysis_group_s	g1k_pop_code_s	source_s
AMPLICON	SAMEA4041141	ERX1534704	0	SINGLE	unspecified	OTHER	unspecified	2016-06-22	1	0	2016-06-22	ERR1464227	ERS1212251	7562.UC.F.A	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	PRJEB7772	WASHINGTON UNIVERSITY  SCHOOL OF MEDICINE	public	Homo sapiens	ILLUMINA	ERP008725	<not provided>	<not provided>	<not provided>
AMPLICON	SAMEA4041142	ERX1534705	0	SINGLE	unspecified	OTHER	unspecified	2016-06-22	4	2	2016-06-22	ERR1464228	ERS1212252	7605.UC.er.A	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	PRJEB7772	WASHINGTON UNIVERSITY  SCHOOL OF MEDICINE	public	Homo sapiens	ILLUMINA	ERP008725	<not provided>	<not provided>	<not provided>
AMPLICON	SAMEA4041143	ERX1534706	0	SINGLE	unspecified	OTHER	unspecified	2016-06-22	1	0	2016-06-22	ERR1464229	ERS1212253	10586.UC.lr.A	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	PRJEB7772	WASHINGTON UNIVERSITY  SCHOOL OF MEDICINE	public	Homo sapiens	ILLUMINA	ERP008725	<not provided>	<not provided>	<not provided>
AMPLICON	SAMEA4041144	ERX1534707	0	SINGLE	unspecified	OTHER	unspecified	2016-06-22	19	11	2016-06-22	ERR1464230	ERS1212254	10618.UC.F.A	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	PRJEB7772	WASHINGTON UNIVERSITY  SCHOOL OF MEDICINE	public	Homo sapiens	ILLUMINA	ERP008725	<not provided>	<not provided>	<not provided>
AMPLICON	SAMEA4041145	ERX1534708	0	SINGLE	unspecified	OTHER	unspecified	2016-06-22	36	22	2016-06-22	ERR1464231	ERS1212255	12274.UC.er.A	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	PRJEB7772	WASHINGTON UNIVERSITY  SCHOOL OF MEDICINE	public	Homo sapiens	ILLUMINA	ERP008725	<not provided>	<not provided>	<not provided>
AMPLICON	SAMEA4041146	ERX1534709	0	SINGLE	unspecified	OTHER	unspecified	2016-06-22	9	5	2016-06-22	ERR1464232	ERS1212256	15027.UC.lr.A	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	PRJEB7772	WASHINGTON UNIVERSITY  SCHOOL OF MEDICINE	public	Homo sapiens	ILLUMINA	ERP008725	<not provided>	<not provided>	<not provided>
AMPLICON	SAMEA4041147	ERX1534710	0	SINGLE	unspecified	OTHER	unspecified	2016-06-22	7	4	2016-06-22	ERR1464233	ERS1212257	7544.UC.F.B	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	PRJEB7772	WASHINGTON UNIVERSITY  SCHOOL OF MEDICINE	public	Homo sapiens	ILLUMINA	ERP008725	<not provided>	<not provided>	<not provided>
AMPLICON	SAMEA4041148	ERX1534711	0	SINGLE	unspecified	OTHER	unspecified	2016-06-22	23	14	2016-06-22	ERR1464234	ERS1212258	7589.UC.er.B	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	PRJEB7772	WASHINGTON UNIVERSITY  SCHOOL OF MEDICINE	public	Homo sapiens	ILLUMINA	ERP008725	<not provided>	<not provided>	<not provided>
AMPLICON	SAMEA4041149	ERX1534712	0	SINGLE	unspecified	OTHER	unspecified	2016-06-22	25	15	2016-06-22	ERR1464235	ERS1212259	10569.UC.lr.B	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	PRJEB7772	WASHINGTON UNIVERSITY  SCHOOL OF MEDICINE	public	Homo sapiens	ILLUMINA	ERP008725	<not provided>	<not provided>	<not provided>
AMPLICON	SAMEA4041150	ERX1534713	0	SINGLE	unspecified	OTHER	unspecified	2016-06-22	16	8	2016-06-22	ERR1464236	ERS1212260	14894.UC.F.C	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	PRJEB7772	WASHINGTON UNIVERSITY  SCHOOL OF MEDICINE	public	Homo sapiens	ILLUMINA	ERP008725	<not provided>	<not provided>	<not provided>
AMPLICON	SAMEA4041151	ERX1534714	0	SINGLE	unspecified	OTHER	unspecified	2016-06-22	17	9	2016-06-22	ERR1464237	ERS1212261	15078.UC.er.C	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	PRJEB7772	WASHINGTON UNIVERSITY  SCHOOL OF MEDICINE	public	Homo sapiens	ILLUMINA	ERP008725	<not provided>	<not provided>	<not provided>
AMPLICON	SAMEA4041152	ERX1534715	0	SINGLE	unspecified	OTHER	unspecified	2016-06-22	30	15	2016-06-22	ERR1464238	ERS1212262	14950.UC.lr.C	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	PRJEB7772	WASHINGTON UNIVERSITY  SCHOOL OF MEDICINE	public	Homo sapiens	ILLUMINA	ERP008725	<not provided>	<not provided>	<not provided>
AMPLICON	SAMEA4041153	ERX1534716	0	SINGLE	unspecified	OTHER	unspecified	2016-06-22	8	5	2016-06-22	ERR1464239	ERS1212263	10578.UC.er.D	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	PRJEB7772	WASHINGTON UNIVERSITY  SCHOOL OF MEDICINE	public	Homo sapiens	ILLUMINA	ERP008725	<not provided>	<not provided>	<not provided>
AMPLICON	SAMEA4041154	ERX1534717	0	SINGLE	unspecified	OTHER	unspecified	2016-06-22	22	13	2016-06-22	ERR1464240	ERS1212264	7550.UC.F.E	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	PRJEB7772	WASHINGTON UNIVERSITY  SCHOOL OF MEDICINE	public	Homo sapiens	ILLUMINA	ERP008725	<not provided>	<not provided>	<not provided>
AMPLICON	SAMEA4041155	ERX1534718	0	SINGLE	unspecified	OTHER	unspecified	2016-06-22	5	3	2016-06-22	ERR1464241	ERS1212265	10613.UC.F.F	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	PRJEB7772	WASHINGTON UNIVERSITY  SCHOOL OF MEDICINE	public	Homo sapiens	ILLUMINA	ERP008725	<not provided>	<not provided>	<not provided>
AMPLICON	SAMEA4041156	ERX1534719	0	SINGLE	unspecified	OTHER	unspecified	2016-06-22	6	3	2016-06-22	ERR1464242	ERS1212266	10568.UC.Imp.F.4	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	PRJEB7772	WASHINGTON UNIVERSITY  SCHOOL OF MEDICINE	public	Homo sapiens	ILLUMINA	ERP008725	<not provided>	<not provided>	<not provided>
AMPLICON	SAMEA4041157	ERX1534720	0	SINGLE	unspecified	OTHER	unspecified	2016-06-22	6	3	2016-06-22	ERR1464243	ERS1212267	13519.UC.F.G	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	PRJEB7772	WASHINGTON UNIVERSITY  SCHOOL OF MEDICINE	public	Homo sapiens	ILLUMINA	ERP008725	<not provided>	<not provided>	<not provided>
AMPLICON	SAMEA4041158	ERX1534721	0	SINGLE	unspecified	OTHER	unspecified	2016-06-22	12	7	2016-06-22	ERR1464244	ERS1212268	7631.CD.F.I	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	PRJEB7772	WASHINGTON UNIVERSITY  SCHOOL OF MEDICINE	public	Homo sapiens	ILLUMINA	ERP008725	<not provided>	<not provided>	<not provided>
AMPLICON	SAMEA4041159	ERX1534722	0	SINGLE	unspecified	OTHER	unspecified	2016-06-22	5	3	2016-06-22	ERR1464245	ERS1212269	7632.CD.er.I	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	PRJEB7772	WASHINGTON UNIVERSITY  SCHOOL OF MEDICINE	public	Homo sapiens	ILLUMINA	ERP008725	<not provided>	<not provided>	<not provided>
AMPLICON	SAMEA4041160	ERX1534723	0	SINGLE	unspecified	OTHER	unspecified	2016-06-22	19	11	2016-06-22	ERR1464246	ERS1212270	7652.CD.lr.I	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	PRJEB7772	WASHINGTON UNIVERSITY  SCHOOL OF MEDICINE	public	Homo sapiens	ILLUMINA	ERP008725	<not provided>	<not provided>	<not provided>
AMPLICON	SAMEA4041161	ERX1534724	0	SINGLE	unspecified	OTHER	unspecified	2016-06-22	20	12	2016-06-22	ERR1464247	ERS1212271	7560.CD.F.J	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	PRJEB7772	WASHINGTON UNIVERSITY  SCHOOL OF MEDICINE	public	Homo sapiens	ILLUMINA	ERP008725	<not provided>	<not provided>	<not provided>
AMPLICON	SAMEA4041162	ERX1534725	0	SINGLE	unspecified	OTHER	unspecified	2016-06-22	13	7	2016-06-22	ERR1464248	ERS1212272	10571.CD.lr.J	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	PRJEB7772	WASHINGTON UNIVERSITY  SCHOOL OF MEDICINE	public	Homo sapiens	ILLUMINA	ERP008725	<not provided>	<not provided>	<not provided>
AMPLICON	SAMEA4041163	ERX1534726	0	SINGLE	unspecified	OTHER	unspecified	2016-06-22	26	14	2016-06-22	ERR1464249	ERS1212273	14898.CD.F.K	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	PRJEB7772	WASHINGTON UNIVERSITY  SCHOOL OF MEDICINE	public	Homo sapiens	ILLUMINA	ERP008725	<not provided>	<not provided>	<not provided>
AMPLICON	SAMEA4041164	ERX1534727	0	SINGLE	unspecified	OTHER	unspecified	2016-06-22	10	5	2016-06-22	ERR1464250	ERS1212274	15019.CD.er.K	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	PRJEB7772	WASHINGTON UNIVERSITY  SCHOOL OF MEDICINE	public	Homo sapiens	ILLUMINA	ERP008725	<not provided>	<not provided>	<not provided>
AMPLICON	SAMEA4041165	ERX1534728	0	SINGLE	unspecified	OTHER	unspecified	2016-06-22	6	3	2016-06-22	ERR1464251	ERS1212275	7612.CD.F.L	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	PRJEB7772	WASHINGTON UNIVERSITY  SCHOOL OF MEDICINE	public	Homo sapiens	ILLUMINA	ERP008725	<not provided>	<not provided>	<not provided>
AMPLICON	SAMEA4041166	ERX1534729	0	SINGLE	unspecified	OTHER	unspecified	2016-06-22	5	2	2016-06-22	ERR1464252	ERS1212276	13527.CD.F.M	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	PRJEB7772	WASHINGTON UNIVERSITY  SCHOOL OF MEDICINE	public	Homo sapiens	ILLUMINA	ERP008725	<not provided>	<not provided>	<not provided>
AMPLICON	SAMEA4041167	ERX1534730	0	SINGLE	unspecified	OTHER	unspecified	2016-06-22	8	5	2016-06-22	ERR1464253	ERS1212277	10579.HHC.Con.M.1	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	PRJEB7772	WASHINGTON UNIVERSITY  SCHOOL OF MEDICINE	public	Homo sapiens	ILLUMINA	ERP008725	<not provided>	<not provided>	<not provided>
AMPLICON	SAMEA4041168	ERX1534731	0	SINGLE	unspecified	OTHER	unspecified	2016-06-22	22	14	2016-06-22	ERR1464254	ERS1212278	14986.HHC.Con.N.1	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	PRJEB7772	WASHINGTON UNIVERSITY  SCHOOL OF MEDICINE	public	Homo sapiens	ILLUMINA	ERP008725	<not provided>	<not provided>	<not provided>
AMPLICON	SAMEA4041169	ERX1534732	0	SINGLE	unspecified	OTHER	unspecified	2016-06-22	18	11	2016-06-22	ERR1464255	ERS1212279	14999.HHC.Con.O.1	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	PRJEB7772	WASHINGTON UNIVERSITY  SCHOOL OF MEDICINE	public	Homo sapiens	ILLUMINA	ERP008725	<not provided>	<not provided>	<not provided>
AMPLICON	SAMEA4041170	ERX1534733	0	SINGLE	unspecified	OTHER	unspecified	2016-06-22	16	10	2016-06-22	ERR1464256	ERS1212280	15789.HHC.Con.Q.1	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	PRJEB7772	WASHINGTON UNIVERSITY  SCHOOL OF MEDICINE	public	Homo sapiens	ILLUMINA	ERP008725	<not provided>	<not provided>	<not provided>
AMPLICON	SAMEA4041171	ERX1534734	0	SINGLE	unspecified	OTHER	unspecified	2016-06-22	25	16	2016-06-22	ERR1464257	ERS1212281	15800.HHC.Con.Q.2	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	PRJEB7772	WASHINGTON UNIVERSITY  SCHOOL OF MEDICINE	public	Homo sapiens	ILLUMINA	ERP008725	<not provided>	<not provided>	<not provided>
AMPLICON	SAMEA4041172	ERX1534735	0	SINGLE	unspecified	OTHER	unspecified	2016-06-22	33	21	2016-06-22	ERR1464258	ERS1212282	15830.HHC.Con.Q.3	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	PRJEB7772	WASHINGTON UNIVERSITY  SCHOOL OF MEDICINE	public	Homo sapiens	ILLUMINA	ERP008725	<not provided>	<not provided>	<not provided>
AMPLICON	SAMEA4041173	ERX1534736	0	SINGLE	unspecified	OTHER	unspecified	2016-06-22	25	15	2016-06-22	ERR1464259	ERS1212283	15839.HHC.Con.Q.4	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	PRJEB7772	WASHINGTON UNIVERSITY  SCHOOL OF MEDICINE	public	Homo sapiens	ILLUMINA	ERP008725	<not provided>	<not provided>	<not provided>
AMPLICON	SAMEA4041174	ERX1534737	0	SINGLE	unspecified	OTHER	unspecified	2016-06-22	26	16	2016-06-22	ERR1464260	ERS1212284	15841.HHC.Con.P.1	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	PRJEB7772	WASHINGTON UNIVERSITY  SCHOOL OF MEDICINE	public	Homo sapiens	ILLUMINA	ERP008725	<not provided>	<not provided>	<not provided>
AMPLICON	SAMEA4041175	ERX1534738	0	SINGLE	unspecified	OTHER	unspecified	2016-06-22	10	6	2016-06-22	ERR1464261	ERS1212285	10577.UC.F.M.2	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	PRJEB7772	WASHINGTON UNIVERSITY  SCHOOL OF MEDICINE	public	Homo sapiens	ILLUMINA	ERP008725	<not provided>	<not provided>	<not provided>
AMPLICON	SAMEA4041176	ERX1534739	0	SINGLE	unspecified	OTHER	unspecified	2016-06-22	18	11	2016-06-22	ERR1464262	ERS1212286	10587.UC.F.M.3	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	PRJEB7772	WASHINGTON UNIVERSITY  SCHOOL OF MEDICINE	public	Homo sapiens	ILLUMINA	ERP008725	<not provided>	<not provided>	<not provided>
AMPLICON	SAMEA4041177	ERX1534740	0	SINGLE	unspecified	OTHER	unspecified	2016-06-22	7	4	2016-06-22	ERR1464263	ERS1212287	10599.UC.ER.M.4	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	PRJEB7772	WASHINGTON UNIVERSITY  SCHOOL OF MEDICINE	public	Homo sapiens	ILLUMINA	ERP008725	<not provided>	<not provided>	<not provided>
AMPLICON	SAMEA4041178	ERX1534741	0	SINGLE	unspecified	OTHER	unspecified	2016-06-22	17	10	2016-06-22	ERR1464264	ERS1212288	14978.UC.F.N.2	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	PRJEB7772	WASHINGTON UNIVERSITY  SCHOOL OF MEDICINE	public	Homo sapiens	ILLUMINA	ERP008725	<not provided>	<not provided>	<not provided>
AMPLICON	SAMEA4041179	ERX1534742	0	SINGLE	unspecified	OTHER	unspecified	2016-06-22	20	12	2016-06-22	ERR1464265	ERS1212289	15105.UC.F.N.3	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	PRJEB7772	WASHINGTON UNIVERSITY  SCHOOL OF MEDICINE	public	Homo sapiens	ILLUMINA	ERP008725	<not provided>	<not provided>	<not provided>
AMPLICON	SAMEA4041180	ERX1534743	0	SINGLE	unspecified	OTHER	unspecified	2016-06-22	7	4	2016-06-22	ERR1464266	ERS1212290	14998.UC.F.O.2	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	PRJEB7772	WASHINGTON UNIVERSITY  SCHOOL OF MEDICINE	public	Homo sapiens	ILLUMINA	ERP008725	<not provided>	<not provided>	<not provided>
AMPLICON	SAMEA4041181	ERX1534744	0	SINGLE	unspecified	OTHER	unspecified	2016-06-22	0	0	2016-06-22	ERR1464267	ERS1212291	15763.UC.F.P.2	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	PRJEB7772	WASHINGTON UNIVERSITY  SCHOOL OF MEDICINE	public	Homo sapiens	ILLUMINA	ERP008725	<not provided>	<not provided>	<not provided>
AMPLICON	SAMEA4041182	ERX1534745	0	SINGLE	unspecified	OTHER	unspecified	2016-06-22	10	6	2016-06-22	ERR1464268	ERS1212292	15767.UC.ER.P.3	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	PRJEB7772	WASHINGTON UNIVERSITY  SCHOOL OF MEDICINE	public	Homo sapiens	ILLUMINA	ERP008725	<not provided>	<not provided>	<not provided>
AMPLICON	SAMEA4041183	ERX1534746	0	SINGLE	unspecified	OTHER	unspecified	2016-06-22	25	15	2016-06-22	ERR1464269	ERS1212293	15783.UC.LR.P.4	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	PRJEB7772	WASHINGTON UNIVERSITY  SCHOOL OF MEDICINE	public	Homo sapiens	ILLUMINA	ERP008725	<not provided>	<not provided>	<not provided>
AMPLICON	SAMEA4041184	ERX1534747	0	SINGLE	unspecified	OTHER	unspecified	2016-06-22	20	12	2016-06-22	ERR1464270	ERS1212294	15787.UC.LR.P.5	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	PRJEB7772	WASHINGTON UNIVERSITY  SCHOOL OF MEDICINE	public	Homo sapiens	ILLUMINA	ERP008725	<not provided>	<not provided>	<not provided>
AMPLICON	SAMEA4041185	ERX1534748	0	SINGLE	unspecified	OTHER	unspecified	2016-06-22	24	15	2016-06-22	ERR1464271	ERS1212295	15804.UC.LR.P.6	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	PRJEB7772	WASHINGTON UNIVERSITY  SCHOOL OF MEDICINE	public	Homo sapiens	ILLUMINA	ERP008725	<not provided>	<not provided>	<not provided>
