BioSample_s	Experiment_s	Library_Name_s	LoadDate_s	MBases_l	MBytes_l	Run_s	SRA_Sample_s	Sample_Name_s	collection_date_s	source_material_id_s	Assay_Type_s	AssemblyName_s	BioProject_s	BioSampleModel_s	Center_Name_s	Consent_s	InsertSize_l	LibraryLayout_s	LibrarySelection_s	LibrarySource_s	Organism_s	Platform_s	ReleaseDate_s	SRA_Study_s	g1k_analysis_group_s	g1k_pop_code_s	geo_loc_name_s	host_s	isolation_source_s	lat_lon_s	source_s
SAMN03659357	SRX1040225	A1_18_6364_SIA	2015-05-27	25	12	SRR2041945	SRS938387	A1_18_6364	Sep-2011	TB0000126364	WGS	<not provided>	PRJNA284162	Metagenome or environmental	WASHINGTON UNIVERSITY	public	0	SINGLE	RANDOM	METAGENOMIC	human gut metagenome	ILLUMINA	2015-09-01	SRP058399	<not provided>	<not provided>	USA: Saint Louis, MO	not applicable	fecal sample	38.13 N 90 W	<not provided>
SAMN03659358	SRX1040226	A1_24_6377_SIA	2015-05-27	45	20	SRR2041946	SRS938388	A1_24_6377	Mar-2012	TB0000126377	WGS	<not provided>	PRJNA284162	Metagenome or environmental	WASHINGTON UNIVERSITY	public	0	SINGLE	RANDOM	METAGENOMIC	human gut metagenome	ILLUMINA	2015-09-01	SRP058399	<not provided>	<not provided>	USA: Saint Louis, MO	not applicable	fecal sample	38.13 N 90 W	<not provided>
SAMN03659359	SRX1040227	A2_0_8584_SIA	2015-05-27	35	16	SRR2041947	SRS938389	A2_0_8584	Mar-2010	AB38758584	WGS	<not provided>	PRJNA284162	Metagenome or environmental	WASHINGTON UNIVERSITY	public	0	SINGLE	RANDOM	METAGENOMIC	human gut metagenome	ILLUMINA	2015-09-01	SRP058399	<not provided>	<not provided>	USA: Saint Louis, MO	not applicable	fecal sample	38.13 N 90 W	<not provided>
SAMN03659360	SRX1040228	A2_3_3467_SIA	2015-05-27	70	29	SRR2041948	SRS938390	A2_3_3467	Jun-2010	AB38763467	WGS	<not provided>	PRJNA284162	Metagenome or environmental	WASHINGTON UNIVERSITY	public	0	SINGLE	RANDOM	METAGENOMIC	human gut metagenome	ILLUMINA	2015-09-01	SRP058399	<not provided>	<not provided>	USA: Saint Louis, MO	not applicable	fecal sample	38.13 N 90 W	<not provided>
SAMN03659355	SRX1040270	A1_6_3707_MDA	2015-05-27	14	7	SRR2041990	SRS938308	A1_6_3707	Sep-2010	AB43253707	WGS	<not provided>	PRJNA284162	Metagenome or environmental	WASHINGTON UNIVERSITY	public	0	SINGLE	RANDOM	METAGENOMIC	human gut metagenome	ILLUMINA	2015-09-01	SRP058399	<not provided>	<not provided>	USA: Saint Louis, MO	not applicable	fecal sample	38.13 N 90 W	<not provided>
SAMN03659356	SRX1040271	A1_12_0834_MDA	2015-05-27	13	6	SRR2041991	SRS938386	A1_12_0834	Mar-2011	TB0000130834	WGS	<not provided>	PRJNA284162	Metagenome or environmental	WASHINGTON UNIVERSITY	public	0	SINGLE	RANDOM	METAGENOMIC	human gut metagenome	ILLUMINA	2015-09-01	SRP058399	<not provided>	<not provided>	USA: Saint Louis, MO	not applicable	fecal sample	38.13 N 90 W	<not provided>
SAMN03659357	SRX1040272	A1_18_6364_MDA	2015-05-27	20	10	SRR2041992	SRS938387	A1_18_6364	Sep-2011	TB0000126364	WGS	<not provided>	PRJNA284162	Metagenome or environmental	WASHINGTON UNIVERSITY	public	0	SINGLE	RANDOM	METAGENOMIC	human gut metagenome	ILLUMINA	2015-09-01	SRP058399	<not provided>	<not provided>	USA: Saint Louis, MO	not applicable	fecal sample	38.13 N 90 W	<not provided>
SAMN03659358	SRX1040273	A1_24_6377_MDA	2015-05-27	8	4	SRR2041993	SRS938388	A1_24_6377	Mar-2012	TB0000126377	WGS	<not provided>	PRJNA284162	Metagenome or environmental	WASHINGTON UNIVERSITY	public	0	SINGLE	RANDOM	METAGENOMIC	human gut metagenome	ILLUMINA	2015-09-01	SRP058399	<not provided>	<not provided>	USA: Saint Louis, MO	not applicable	fecal sample	38.13 N 90 W	<not provided>
SAMN03659359	SRX1040274	A2_0_8584_MDA	2015-05-27	28	14	SRR2041994	SRS938389	A2_0_8584	Mar-2010	AB38758584	WGS	<not provided>	PRJNA284162	Metagenome or environmental	WASHINGTON UNIVERSITY	public	0	SINGLE	RANDOM	METAGENOMIC	human gut metagenome	ILLUMINA	2015-09-01	SRP058399	<not provided>	<not provided>	USA: Saint Louis, MO	not applicable	fecal sample	38.13 N 90 W	<not provided>
SAMN03659360	SRX1040275	A2_3_3467_MDA	2015-05-27	10	4	SRR2041995	SRS938390	A2_3_3467	Jun-2010	AB38763467	WGS	<not provided>	PRJNA284162	Metagenome or environmental	WASHINGTON UNIVERSITY	public	0	SINGLE	RANDOM	METAGENOMIC	human gut metagenome	ILLUMINA	2015-09-01	SRP058399	<not provided>	<not provided>	USA: Saint Louis, MO	not applicable	fecal sample	38.13 N 90 W	<not provided>
SAMN03659367	SRX1030073	<not provided>	2015-05-16	21	13	SRR2029490	SRS938397	B1_6_0912	Sep-2010	TB0000130912	WGS	<not provided>	PRJNA284162	Metagenome or environmental	WASHINGTON UNIVERSITY	public	0	SINGLE	RANDOM	METAGENOMIC	human gut metagenome	ILLUMINA	2015-09-01	SRP058399	<not provided>	<not provided>	USA: Saint Louis, MO	not applicable	fecal sample	38.13 N 90 W	<not provided>
SAMN03659368	SRX1030074	<not provided>	2015-05-16	13	8	SRR2029491	SRS938399	B1_12_3480	Mar-2011	TB0000123480	WGS	<not provided>	PRJNA284162	Metagenome or environmental	WASHINGTON UNIVERSITY	public	0	SINGLE	RANDOM	METAGENOMIC	human gut metagenome	ILLUMINA	2015-09-01	SRP058399	<not provided>	<not provided>	USA: Saint Louis, MO	not applicable	fecal sample	38.13 N 90 W	<not provided>
SAMN03659369	SRX1030075	<not provided>	2015-05-16	4	2	SRR2029492	SRS938400	B1_18_1568	Aug-2011	TB0000151568	WGS	<not provided>	PRJNA284162	Metagenome or environmental	WASHINGTON UNIVERSITY	public	0	SINGLE	RANDOM	METAGENOMIC	human gut metagenome	ILLUMINA	2015-09-01	SRP058399	<not provided>	<not provided>	USA: Saint Louis, MO	not applicable	fecal sample	38.13 N 90 W	<not provided>
SAMN03659370	SRX1030076	<not provided>	2015-05-16	10	6	SRR2029493	SRS938401	B1_24_6604	Feb-2012	TB0000126604	WGS	<not provided>	PRJNA284162	Metagenome or environmental	WASHINGTON UNIVERSITY	public	0	SINGLE	RANDOM	METAGENOMIC	human gut metagenome	ILLUMINA	2015-09-01	SRP058399	<not provided>	<not provided>	USA: Saint Louis, MO	not applicable	fecal sample	38.13 N 90 W	<not provided>
SAMN03659371	SRX1030077	<not provided>	2015-05-16	12	7	SRR2029494	SRS938402	B2_0_8680	Mar-2010	AB38758680	WGS	<not provided>	PRJNA284162	Metagenome or environmental	WASHINGTON UNIVERSITY	public	0	SINGLE	RANDOM	METAGENOMIC	human gut metagenome	ILLUMINA	2015-09-01	SRP058399	<not provided>	<not provided>	USA: Saint Louis, MO	not applicable	fecal sample	38.13 N 90 W	<not provided>
SAMN03659372	SRX1030078	<not provided>	2015-05-16	18	10	SRR2029495	SRS938403	B2_3_4724	Jun-2010	AB42574724	WGS	<not provided>	PRJNA284162	Metagenome or environmental	WASHINGTON UNIVERSITY	public	0	SINGLE	RANDOM	METAGENOMIC	human gut metagenome	ILLUMINA	2015-09-01	SRP058399	<not provided>	<not provided>	USA: Saint Louis, MO	not applicable	fecal sample	38.13 N 90 W	<not provided>
SAMN03659373	SRX1030079	<not provided>	2015-05-16	21	13	SRR2029496	SRS938405	B2_6_3463	Sep-2010	TB0000123463	WGS	<not provided>	PRJNA284162	Metagenome or environmental	WASHINGTON UNIVERSITY	public	0	SINGLE	RANDOM	METAGENOMIC	human gut metagenome	ILLUMINA	2015-09-01	SRP058399	<not provided>	<not provided>	USA: Saint Louis, MO	not applicable	fecal sample	38.13 N 90 W	<not provided>
SAMN03659374	SRX1030080	<not provided>	2015-05-16	11	7	SRR2029497	SRS938404	B2_12_0802	Mar-2011	TB0000130802	WGS	<not provided>	PRJNA284162	Metagenome or environmental	WASHINGTON UNIVERSITY	public	0	SINGLE	RANDOM	METAGENOMIC	human gut metagenome	ILLUMINA	2015-09-01	SRP058399	<not provided>	<not provided>	USA: Saint Louis, MO	not applicable	fecal sample	38.13 N 90 W	<not provided>
SAMN03659375	SRX1030081	<not provided>	2015-05-16	4	2	SRR2029498	SRS938406	B2_18_1797	Aug-2011	TB0000151797	WGS	<not provided>	PRJNA284162	Metagenome or environmental	WASHINGTON UNIVERSITY	public	0	SINGLE	RANDOM	METAGENOMIC	human gut metagenome	ILLUMINA	2015-09-01	SRP058399	<not provided>	<not provided>	USA: Saint Louis, MO	not applicable	fecal sample	38.13 N 90 W	<not provided>
SAMN03659376	SRX1030082	<not provided>	2015-05-16	3	1	SRR2029499	SRS938408	B2_24_1824	Feb-2012	TB0000151824	WGS	<not provided>	PRJNA284162	Metagenome or environmental	WASHINGTON UNIVERSITY	public	0	SINGLE	RANDOM	METAGENOMIC	human gut metagenome	ILLUMINA	2015-09-01	SRP058399	<not provided>	<not provided>	USA: Saint Louis, MO	not applicable	fecal sample	38.13 N 90 W	<not provided>
SAMN03659377	SRX1030083	<not provided>	2015-05-16	13	7	SRR2029500	SRS938407	C1_0_0245	May-2010	AB37750245	WGS	<not provided>	PRJNA284162	Metagenome or environmental	WASHINGTON UNIVERSITY	public	0	SINGLE	RANDOM	METAGENOMIC	human gut metagenome	ILLUMINA	2015-09-01	SRP058399	<not provided>	<not provided>	USA: Saint Louis, MO	not applicable	fecal sample	38.13 N 90 W	<not provided>
SAMN03659361	SRX1040229	A2_6_3710_SIA	2015-05-27	19	9	SRR2041949	SRS938391	A2_6_3710	Sep-2010	AB43253710	WGS	<not provided>	PRJNA284162	Metagenome or environmental	WASHINGTON UNIVERSITY	public	0	SINGLE	RANDOM	METAGENOMIC	human gut metagenome	ILLUMINA	2015-09-01	SRP058399	<not provided>	<not provided>	USA: Saint Louis, MO	not applicable	fecal sample	38.13 N 90 W	<not provided>
SAMN03659362	SRX1040230	A2_12_0860_SIA	2015-05-27	26	12	SRR2041950	SRS938392	A2_12_0860	Mar-2011	TB0000130860	WGS	<not provided>	PRJNA284162	Metagenome or environmental	WASHINGTON UNIVERSITY	public	0	SINGLE	RANDOM	METAGENOMIC	human gut metagenome	ILLUMINA	2015-09-01	SRP058399	<not provided>	<not provided>	USA: Saint Louis, MO	not applicable	fecal sample	38.13 N 90 W	<not provided>
SAMN03659363	SRX1040231	A2_18_6574_SIA	2015-05-27	21	10	SRR2041951	SRS938393	A2_18_6574	Sep-2011	TB0000126574	WGS	<not provided>	PRJNA284162	Metagenome or environmental	WASHINGTON UNIVERSITY	public	0	SINGLE	RANDOM	METAGENOMIC	human gut metagenome	ILLUMINA	2015-09-01	SRP058399	<not provided>	<not provided>	USA: Saint Louis, MO	not applicable	fecal sample	38.13 N 90 W	<not provided>
SAMN03659364	SRX1040232	A2_24_6583_SIA	2015-05-27	77	34	SRR2041952	SRS938394	A2_24_6583	Mar-2012	TB0000126583	WGS	<not provided>	PRJNA284162	Metagenome or environmental	WASHINGTON UNIVERSITY	public	0	SINGLE	RANDOM	METAGENOMIC	human gut metagenome	ILLUMINA	2015-09-01	SRP058399	<not provided>	<not provided>	USA: Saint Louis, MO	not applicable	fecal sample	38.13 N 90 W	<not provided>
SAMN03659365	SRX1040233	B1_0_8199_SIA	2015-05-27	42	19	SRR2041953	SRS938395	B1_0_8199	Mar-2010	AB38768199	WGS	<not provided>	PRJNA284162	Metagenome or environmental	WASHINGTON UNIVERSITY	public	0	SINGLE	RANDOM	METAGENOMIC	human gut metagenome	ILLUMINA	2015-09-01	SRP058399	<not provided>	<not provided>	USA: Saint Louis, MO	not applicable	fecal sample	38.13 N 90 W	<not provided>
SAMN03659366	SRX1040234	B1_3_4708_SIA	2015-05-27	21	10	SRR2041954	SRS938396	B1_3_4708	Jun-2010	AB42574708	WGS	<not provided>	PRJNA284162	Metagenome or environmental	WASHINGTON UNIVERSITY	public	0	SINGLE	RANDOM	METAGENOMIC	human gut metagenome	ILLUMINA	2015-09-01	SRP058399	<not provided>	<not provided>	USA: Saint Louis, MO	not applicable	fecal sample	38.13 N 90 W	<not provided>
SAMN03659367	SRX1040235	B1_6_0912_SIA	2015-05-27	52	24	SRR2041955	SRS938397	B1_6_0912	Sep-2010	TB0000130912	WGS	<not provided>	PRJNA284162	Metagenome or environmental	WASHINGTON UNIVERSITY	public	0	SINGLE	RANDOM	METAGENOMIC	human gut metagenome	ILLUMINA	2015-09-01	SRP058399	<not provided>	<not provided>	USA: Saint Louis, MO	not applicable	fecal sample	38.13 N 90 W	<not provided>
SAMN03659368	SRX1040236	B1_12_3480_SIA	2015-05-27	32	15	SRR2041956	SRS938399	B1_12_3480	Mar-2011	TB0000123480	WGS	<not provided>	PRJNA284162	Metagenome or environmental	WASHINGTON UNIVERSITY	public	0	SINGLE	RANDOM	METAGENOMIC	human gut metagenome	ILLUMINA	2015-09-01	SRP058399	<not provided>	<not provided>	USA: Saint Louis, MO	not applicable	fecal sample	38.13 N 90 W	<not provided>
SAMN03659369	SRX1040237	B1_18_1568_SIA	2015-05-27	17	8	SRR2041957	SRS938400	B1_18_1568	Aug-2011	TB0000151568	WGS	<not provided>	PRJNA284162	Metagenome or environmental	WASHINGTON UNIVERSITY	public	0	SINGLE	RANDOM	METAGENOMIC	human gut metagenome	ILLUMINA	2015-09-01	SRP058399	<not provided>	<not provided>	USA: Saint Louis, MO	not applicable	fecal sample	38.13 N 90 W	<not provided>
SAMN03659370	SRX1040238	B1_24_6604_SIA	2015-05-27	54	25	SRR2041958	SRS938401	B1_24_6604	Feb-2012	TB0000126604	WGS	<not provided>	PRJNA284162	Metagenome or environmental	WASHINGTON UNIVERSITY	public	0	SINGLE	RANDOM	METAGENOMIC	human gut metagenome	ILLUMINA	2015-09-01	SRP058399	<not provided>	<not provided>	USA: Saint Louis, MO	not applicable	fecal sample	38.13 N 90 W	<not provided>
SAMN03659371	SRX1040239	B2_0_8680_SIA	2015-05-27	31	15	SRR2041959	SRS938402	B2_0_8680	Mar-2010	AB38758680	WGS	<not provided>	PRJNA284162	Metagenome or environmental	WASHINGTON UNIVERSITY	public	0	SINGLE	RANDOM	METAGENOMIC	human gut metagenome	ILLUMINA	2015-09-01	SRP058399	<not provided>	<not provided>	USA: Saint Louis, MO	not applicable	fecal sample	38.13 N 90 W	<not provided>
SAMN03659361	SRX1040276	A2_6_3710_MDA	2015-05-27	7	3	SRR2041996	SRS938391	A2_6_3710	Sep-2010	AB43253710	WGS	<not provided>	PRJNA284162	Metagenome or environmental	WASHINGTON UNIVERSITY	public	0	SINGLE	RANDOM	METAGENOMIC	human gut metagenome	ILLUMINA	2015-09-01	SRP058399	<not provided>	<not provided>	USA: Saint Louis, MO	not applicable	fecal sample	38.13 N 90 W	<not provided>
SAMN03659362	SRX1040277	A2_12_0860_MDA	2015-05-27	28	13	SRR2041997	SRS938392	A2_12_0860	Mar-2011	TB0000130860	WGS	<not provided>	PRJNA284162	Metagenome or environmental	WASHINGTON UNIVERSITY	public	0	SINGLE	RANDOM	METAGENOMIC	human gut metagenome	ILLUMINA	2015-09-01	SRP058399	<not provided>	<not provided>	USA: Saint Louis, MO	not applicable	fecal sample	38.13 N 90 W	<not provided>
SAMN03659363	SRX1040278	A2_18_6574_MDA	2015-05-27	15	7	SRR2041998	SRS938393	A2_18_6574	Sep-2011	TB0000126574	WGS	<not provided>	PRJNA284162	Metagenome or environmental	WASHINGTON UNIVERSITY	public	0	SINGLE	RANDOM	METAGENOMIC	human gut metagenome	ILLUMINA	2015-09-01	SRP058399	<not provided>	<not provided>	USA: Saint Louis, MO	not applicable	fecal sample	38.13 N 90 W	<not provided>
SAMN03659364	SRX1040279	A2_24_6583_MDA	2015-05-27	14	6	SRR2041999	SRS938394	A2_24_6583	Mar-2012	TB0000126583	WGS	<not provided>	PRJNA284162	Metagenome or environmental	WASHINGTON UNIVERSITY	public	0	SINGLE	RANDOM	METAGENOMIC	human gut metagenome	ILLUMINA	2015-09-01	SRP058399	<not provided>	<not provided>	USA: Saint Louis, MO	not applicable	fecal sample	38.13 N 90 W	<not provided>
SAMN03659365	SRX1040280	B1_0_8199_MDA	2015-05-27	21	10	SRR2042000	SRS938395	B1_0_8199	Mar-2010	AB38768199	WGS	<not provided>	PRJNA284162	Metagenome or environmental	WASHINGTON UNIVERSITY	public	0	SINGLE	RANDOM	METAGENOMIC	human gut metagenome	ILLUMINA	2015-09-01	SRP058399	<not provided>	<not provided>	USA: Saint Louis, MO	not applicable	fecal sample	38.13 N 90 W	<not provided>
SAMN03659366	SRX1040281	B1_3_4708_MDA	2015-05-27	15	7	SRR2042001	SRS938396	B1_3_4708	Jun-2010	AB42574708	WGS	<not provided>	PRJNA284162	Metagenome or environmental	WASHINGTON UNIVERSITY	public	0	SINGLE	RANDOM	METAGENOMIC	human gut metagenome	ILLUMINA	2015-09-01	SRP058399	<not provided>	<not provided>	USA: Saint Louis, MO	not applicable	fecal sample	38.13 N 90 W	<not provided>
SAMN03659367	SRX1040282	B1_6_0912_MDA	2015-05-27	21	10	SRR2042002	SRS938397	B1_6_0912	Sep-2010	TB0000130912	WGS	<not provided>	PRJNA284162	Metagenome or environmental	WASHINGTON UNIVERSITY	public	0	SINGLE	RANDOM	METAGENOMIC	human gut metagenome	ILLUMINA	2015-09-01	SRP058399	<not provided>	<not provided>	USA: Saint Louis, MO	not applicable	fecal sample	38.13 N 90 W	<not provided>
SAMN03659368	SRX1040283	B1_12_3480_MDA	2015-05-27	9	4	SRR2042003	SRS938399	B1_12_3480	Mar-2011	TB0000123480	WGS	<not provided>	PRJNA284162	Metagenome or environmental	WASHINGTON UNIVERSITY	public	0	SINGLE	RANDOM	METAGENOMIC	human gut metagenome	ILLUMINA	2015-09-01	SRP058399	<not provided>	<not provided>	USA: Saint Louis, MO	not applicable	fecal sample	38.13 N 90 W	<not provided>
SAMN03659369	SRX1040284	B1_18_1568_MDA	2015-05-27	9	4	SRR2042004	SRS938400	B1_18_1568	Aug-2011	TB0000151568	WGS	<not provided>	PRJNA284162	Metagenome or environmental	WASHINGTON UNIVERSITY	public	0	SINGLE	RANDOM	METAGENOMIC	human gut metagenome	ILLUMINA	2015-09-01	SRP058399	<not provided>	<not provided>	USA: Saint Louis, MO	not applicable	fecal sample	38.13 N 90 W	<not provided>
